HostName,IPAddress,CNAME,Role,MailServer,CheckAPLogName,IsAPServer
d03713-fsa,172.24.3.72,d03713-fsa,FileServer,172.24.2.61,,
d03221-vma,172.29.32.21,mbga-odin-DevAP,Hyper-V,172.24.2.61,Microsoft-Windows-Hyper-V-*,
d03223-vma,172.29.32.23,mbga-maze-DevAP,Hyper-V,172.24.2.61,Microsoft-Windows-Hyper-V-*,
d03428-vma,172.29.34.28,mbga-rogue-DevAP,Hyper-V,172.24.2.61,Microsoft-Windows-Hyper-V-*,
d03431-vma,172.29.34.31,gree-rogue-DevAP,Hyper-V,172.24.2.61,Microsoft-Windows-Hyper-V-*,
d03433-vma,172.29.34.33,Jenkins-DevAP,Hyper-V,172.24.2.61,Microsoft-Windows-Hyper-V-*,
d05015-vmb,172.29.50.15,N/A,Hyper-V,172.24.2.61,Microsoft-Windows-Hyper-V-*,
d05016-vmb,172.29.50.16,N/A,Hyper-V,172.24.2.61,Microsoft-Windows-Hyper-V-*,
d05019-vmb,172.29.50.19,mbga-cross-deploy002,Hyper-V,172.24.2.61,Microsoft-Windows-Hyper-V-*,
d05020-vmb,172.29.50.20,mbga-lcard_guild-deploy002,Hyper-V,172.24.2.61,Microsoft-Windows-Hyper-V-*,
d05021-vmb,172.29.50.21,mbga-lcard_guild-DevAP33,Hyper-V,172.24.2.61,Microsoft-Windows-Hyper-V-*,
d05022-vmb,172.29.50.22,natv-edge-DevAP,Hyper-V,172.24.2.61,Microsoft-Windows-Hyper-V-*,
d05023-vmb,172.29.50.23,pardy-DevAP,Hyper-V,172.24.2.61,Microsoft-Windows-Hyper-V-*,
d05024-vmb,172.29.50.24,village-DevAP,Hyper-V,172.24.2.61,Microsoft-Windows-Hyper-V-*,
d05025-vmb,172.29.50.25,mbga-cross-DevAP,Hyper-V,172.24.2.61,Microsoft-Windows-Hyper-V-*,
d05119-vmb,172.29.51.19,natv-edge-DevAP,Hyper-V,172.24.2.61,Microsoft-Windows-Hyper-V-*,
d05120-vmb,172.29.51.20,mbga-cross-DevAP,Hyper-V,172.24.2.61,Microsoft-Windows-Hyper-V-*,
d05121-vmb,172.29.51.21,unite-DevAP,Hyper-V,172.24.2.61,Microsoft-Windows-Hyper-V-*,
d05122-vmb,172.29.51.22,mbga-bcard-DevAP,Hyper-V,172.24.2.61,Microsoft-Windows-Hyper-V-*,
d05124-vmb,172.29.51.24,mbga-red-DevAP,Hyper-V,172.24.2.61,Microsoft-Windows-Hyper-V-*,
d05125-vmb,172.29.51.25,village-DevAP,Hyper-V,172.24.2.61,Microsoft-Windows-Hyper-V-*,
d05209-vmb,172.29.52.9,pardy-DevAP,Hyper-V,172.24.2.61,Microsoft-Windows-Hyper-V-*,
d05210-vmb,172.29.52.10,dcmg-cross-DevAP,Hyper-V,172.24.2.61,Microsoft-Windows-Hyper-V-*,
d05211-vmb,172.29.52.11,Jenkins-DevAP,Hyper-V,172.24.2.61,Microsoft-Windows-Hyper-V-*,
d05212-vmb,172.29.52.12,gree-rogue-DevAP,Hyper-V,172.24.2.61,Microsoft-Windows-Hyper-V-*,
d05213-vmb,172.29.52.13,mbga-rogue-DevAP,Hyper-V,172.24.2.61,Microsoft-Windows-Hyper-V-*,
d05214-vmb,172.29.52.14,mbga-rogue-deploy002,Hyper-V,172.24.2.61,Microsoft-Windows-Hyper-V-*,
d05215-vmb,172.29.52.15,village-deploy002,Hyper-V,172.24.2.61,Microsoft-Windows-Hyper-V-*,
d05216-vmb,172.29.52.16,pile-deploy002,Hyper-V,172.24.2.61,Microsoft-Windows-Hyper-V-*,
d05217-vmb,172.29.52.17,dm-deploy002,Hyper-V,172.24.2.61,Microsoft-Windows-Hyper-V-*,
d05219-vmb,172.29.52.19,mbga-red-deploy003,Hyper-V,172.24.2.61,Microsoft-Windows-Hyper-V-*,
d05509-vmb,172.29.55.9,N/A,Hyper-V,172.24.2.61,Microsoft-Windows-Hyper-V-*,
d05510-vmb,172.29.55.10,N/A,Hyper-V,172.24.2.61,Microsoft-Windows-Hyper-V-*,
d05511-vmb,172.29.55.11,N/A,Hyper-V,172.24.2.61,Microsoft-Windows-Hyper-V-*,
d05512-vmb,172.29.55.12,N/A,Hyper-V,172.24.2.61,Microsoft-Windows-Hyper-V-*,
d05513-vmb,172.29.55.13,mbga-bcard-deploy003,Hyper-V,172.24.2.61,Microsoft-Windows-Hyper-V-*,
d05514-vmb,172.29.55.14,gree-rogue-deploy003,Hyper-V,172.24.2.61,Microsoft-Windows-Hyper-V-*,
d05515-vmb,172.29.55.15,gree-cross-deploy02,Hyper-V,172.24.2.61,Microsoft-Windows-Hyper-V-*,
d05516-vmb,172.29.55.16,mbga-odin-deploy002,Hyper-V,172.24.2.61,Microsoft-Windows-Hyper-V-*,
